keyword,title,creator,abstract,date,subject,publisher,id
charlemagne,"Le Banquet du souvenir, pièce lue au banquet de la Saint-Charlemagne le 28 janvier 1862, par M. Emmanuel Des Essarts,...","Des Essarts, Emmanuel (1839-1909). Auteur du texte",Appartient à l’ensemble documentaire : Bourgogn1,1862,,impr. de Duchemin (Sens),https://gallica.bnf.fr/ark:/12148/bpt6k6234375h
charlemagne,"Lycée impérial de Versailles. Le Premier uniforme, pièce de vers lue au banquet de la Saint-Charlemagne, par Édouard Grison,... le 3 février 1866","Grison, Édouard. Auteur du texte",Appartient à l’ensemble documentaire : IledeFr1,1866,,(Versailles),https://gallica.bnf.fr/ark:/12148/bpt6k6150986f
charlemagne,"Franchises accordées par Charles V, roi de France, aux habitants d'Aix-la-Chapelle en l'honneur de Charlemagne. (Mars 1369.)",,Avec mode texte,1892,,imp. de Daupeley-Gouverneur (Nogent-le-Rotrou),https://gallica.bnf.fr/ark:/12148/bpt6k58465330
charlemagne,"Paris à la fin de 1816, ou Trois lettres à l'ordre du jour, précédées de deux fragmens d'histoire philosophique sur Charlemagne et Henri IV / par Auguste Hus,...","Hus, Auguste (1769-1829). Auteur du texte",Avec mode texte,1816,Paris (France) -- 1789-1815,Beauchamps (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k61055066
charlemagne,"Croque-mitaine : légende héroïque... dans laquelle il est prouvé que ""les actes sont des mâles, les paroles des femelles et que la peur n'a d'autres armes que celles qu'on lui abandonne"" / contée par Quatrelles ; illustrée par Gustave Doré",Quatrelles (1826-1893). Auteur du texte,Numérisé par le partenaire,1892,"Doré, Gustave (1832-1883) -- Illustration des livres; Charlemagne (0742-0814) -- Ouvrages pour la jeunesse; Littérature pour la jeunesse (19e siècle)",Librairie Hachette (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k91055752
charlemagne,"De l'Influence des festins, étude gastronomique, vers lus au banquet de la Saint-Charlemagne, le 31 janvier 1863, par A.-S. Ammann,...","Ammann, Auguste (1844-1921). Auteur du texte",Appartient à l’ensemble documentaire : PatGourm,1863,,"impr. de C. Noblet ((Paris,))",https://gallica.bnf.fr/ark:/12148/bpt6k5470995g
charlemagne,L'héritage de Charlemagne / Charles Deslys ; ouvrage illustré de 129 gravures d'après Edouard Zier,"Deslys, Charles (1821-1885). Auteur du texte",Contient une table des matières,1887,,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k5702944k
charlemagne,"Abregé de l'Histoire universelle, depuis Charlemagne, jusques a Charlequint [""sic""]. par M. de Voltaire. Tome premier. [-second]. Tome 1",Voltaire (1694-1778). Auteur du texte,Avec mode texte,1753,,"A Londres, chez Jean Nourse, MDCCLIII.",https://gallica.bnf.fr/ark:/12148/bpt6k15109082
charlemagne,Centenaire du lycée Charlemagne (1804-1904),Lycée Charlemagne (Paris). Auteur du texte,Contient une table des matières,1905,,Impr. nationale (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6375159c
charlemagne,Conquêtes du grand Charlemagne roi de France...,,Avec mode texte,,,Deckherr (Montbéliard),https://gallica.bnf.fr/ark:/12148/bpt6k1527471j
charlemagne,"Essay sur l'histoire générale, et sur les moeurs et l'esprit des nations. Tome 1 / , depuis Charlemagne jusqu'à nos jours. Tome premier [-septième]",Voltaire (1694-1778). Auteur du texte,Appartient à l’ensemble documentaire : FranceJp0,1757,,"[La Haye, J. Néaulme.] MDCCLVII",https://gallica.bnf.fr/ark:/12148/bpt6k10704860
charlemagne,"Dissertation historique sur quelques monnoyes de Charlemagne, de Louis le Débonnaire, de Lothaire et de leurs successeurs frapées dans Rome , par lesquelles on réfute l'opinion de ceux qui prétendent que ces princes n'ont jamais eu aucune autorité dans cette ville que du consentement des papes. [Par F. Le Blanc.]","Le Blanc, François (16..-1698). Auteur du texte",Appartient à l’ensemble documentaire : BnPlCo00,1689,,J.-B. Coignard (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k87278973
charlemagne,"Notice géographique et historique sur l'Ile-Barbe, près de Lyon , suivie du Catalogue des manuscrits de la Bibliothèque rassemblée dans cette île par Charlemagne, et extraite d'un ""Voyage inédit dans les départements méridionaux"", par Narcisse Perrin,...","Perrin, Narcisse (1795-18..). Auteur du texte",Avec mode texte,1820,,impr. de E.-N. Goestchy (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6534897j
charlemagne,"Charlemagne punissant Beuves, duc d'Aigremont : tragédie en trois actes / par J.-A. Labadens,...","Labadens, Jacques-André (Abbé). Auteur du texte",Appartient à l’ensemble documentaire : MidiPyren1,1858,,Troyes ouvriers réunis (Toulouse),https://gallica.bnf.fr/ark:/12148/bpt6k5816174q
charlemagne,"Les Cultivateurs du département de l'Oise, dialogue sur le mariage de S. M. Napoléon le Grand, empereur des Français et roi d'Italie, et de S. A. I. Marie-Louise, archiduchesse d'Autriche, lu dans l'assemblée du 7 juin... au lycée Charlemagne, par M. Crouzet,...","Crouzet, Pierre (1753-1811). Auteur du texte",Avec mode texte,1810,,impr. de J.-M. Eberhart (Paris),https://gallica.bnf.fr/ark:/12148/bd6t541934106
charlemagne,Une exposition d'élèves à la foire Saint-Germain : vers lus par l'auteur au banquet de la Saint-Charlemagne (Lycée Charlemagne) / par Eusèbe-Joseph Castaigne,"Castaigne, Eusèbe-Joseph (proviseur du Lycée de Moulins). Auteur du texte",Appartient à l’ensemble documentaire : Auvergn1,1879,,impr. G. Chasseignac (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k62079941
charlemagne,"Lycée impérial de Versailles. Le Progrès, pièce de vers lue au banquet de la Saint-Charlemagne, par Édouard Grison,... le 31 janvier 1863","Grison, Édouard. Auteur du texte",Appartient à l’ensemble documentaire : IledeFr1,1863,,(Versailles),https://gallica.bnf.fr/ark:/12148/bpt6k6150970k
charlemagne,"Lycée Charlemagne. Distribution des prix du 10 août 1875. Discours prononcé par M. le Vte Henri Delaborde,...","Delaborde, Henri (1811-1899). Auteur du texte",Avec mode texte,,,"impr. de Seringe frères ((S. l.,))",https://gallica.bnf.fr/ark:/12148/bpt6k15080819
charlemagne,"Poésies d'Hippolyte Tampucci, garçon de classe au collège Charlemagne","Tampucci, Hippolyte (1802-1880). Auteur du texte",Avec mode texte,1832,,impr. de Casimir (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k5721673h
charlemagne,"Les chevaliers du cygne, ou La cour de Charlemagne. Tome 1 / , par Mme de Genlis. Nouvelle édition, revue, corrigée et augmentée","Genlis, Stéphanie-Félicité Du Crest comtesse de (1746-1830). Auteur du texte",Contient une table des matières,1805,,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k5493711k
charlemagne,"De l'Etat des sciences en France depuis la mort de Charlemagne jusqu'à celle du roi Robert . Dissertation... par M. l'abbé Goujet,...","Goujet, Claude-Pierre (1697-1767). Auteur du texte",Avec mode texte,1737,,par la Compagnie des Libraires (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6449910j
charlemagne,Nouveau bouclier d'état et de justice où l'on découvre le peu de fondement qu'ont les rois de France dans leurs prétentions à l'empire et aux autres royaumes de Charlemagne et où l'on combat les paradoxes avancez par le P. Mainbourg...,"Preudhomme, H P G. Auteur du texte",Avec mode texte,1696,,P. Chayer (Amsterdam),https://gallica.bnf.fr/ark:/12148/bpt6k8727695k
charlemagne,"Parallèle entre César, Charlemagne et Napoléon : l'empire et la démocratie, philosophie de la légende impériale / par M. Hippolyte Castille","Castille, Hippolyte (1820-1886). Auteur du texte",Contient une table des matières,1858,France -- 1804-1814 (Empire),H. Plon (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6278868f
charlemagne,"Histoire de la décadence de l'Empire après Charlemagne et des différends des empereurs avec les papes, au sujet des investitures et de l'indépendance, par le P. Louis Maimbourg...","Maimbourg, Louis (1610-1686). Auteur du texte",Avec mode texte,1686,,impr. de S. Mabre-Cramoisy (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k8713508j
