keyword,title,creator,abstract,date,subject,publisher,id
austrasie,Supplément au n°... de l'Austrasie,,Variante(s) de titre : Chronique de l'Austrasie,1905-1913,,[s.n.] (Metz),https://gallica.bnf.fr/ark:/12148/cb32874003g/date
austrasie,"De la Critique littéraire. Lettre au directeur de l'""Austrasie, revue de l'Est"". (Signé : A. Aderer.)","Aderer, Adolphe (1832-1886). Auteur du texte",Avec mode texte,1864,,Aubry (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k9611800m
austrasie,"Mémoires du chevalier de Mautort : capitaine au régiment d'Austrasie, chevalier de l'ordre royal et militaire de Saint-Louis (1752-1802) / publiés par son petit-neveu, le baron Tillette de Clermont-Tonnerre...","Tillette de Mautort, Louis François de Paule (1752-1812). Auteur du texte",Contient une table des matières,1895,"Mautort, Chevalier de",(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k9612573s
austrasie,Revue d'Austrasie (Metz),,Périodicité : Mensuel,1840-1843,,Alcan (Metz),https://gallica.bnf.fr/ark:/12148/cb32856799b/date
austrasie,L'Austrasie (1853),Société d'archéologie et d'histoire de la Moselle. Auteur du texte,Etat de collection : 1853 (1er vol.)-1863 (11e vol.),1853-1863,,Pallez & Rousseau (Metz),https://gallica.bnf.fr/ark:/12148/cb345417374/date
austrasie,"Biographies carlovingiennes : Austrasie, Aquitaine, Roussillon, Espagne",,Appartient à l’ensemble documentaire : Aquit1,1870,Roussillon,C. Latrobe (Perpignan),https://gallica.bnf.fr/ark:/12148/bpt6k65804712
austrasie,L'Austrasie (1837),,Périodicité : Mensuel,1837-1839,,Verronnais (Metz),https://gallica.bnf.fr/ark:/12148/cb32707024j/date
austrasie,L'espace et le pouvoir : étude sur l'Austrasie mérovingienne / par Fabienne Cardot,"Cardot, Fabienne (1954-....). Auteur du texte",Collection : Histoire ancienne et médiévale ; 17,1987,Perception spatiale -- Moyen âge; Pouvoir royal -- France -- Moyen âge; Civilisation -- France -- Jusqu'à 700; Politique et gouvernement -- Austrasie,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k3322593v
austrasie,"Au-t-ingues d'Orange et d'Austrasie : ""C"" l'or-nu / par René Ooghe. L'histoire d'Autingues / par René Ringot","Ooghe, René (1926-2018). Auteur du texte; Ringot, René. Auteur du texte",Comprend : L'histoire d'Autingues,1989,"Autingues (Pas-de-Calais, France) -- Histoire",R. Ooghe (Autingues),https://gallica.bnf.fr/ark:/12148/bpt6k3385124t
austrasie,Jean Giraudoux : aux sources du sens / par Charles P. Marie,"Marie, Charles P. (1939-2003). Auteur du texte",Contient une table des matières,1982,"Giraudoux, Jean (1882-1944)",Éditions d'Austrasie (Besançon),https://gallica.bnf.fr/ark:/12148/bpt6k3324904v
neustrie,"Vie de saint Nicaise, évêque de Neustrie",,Appartient à l’ensemble documentaire : HNormand1,1863,"Nicaise, Saint",Mégard (Rouen),https://gallica.bnf.fr/ark:/12148/bpt6k5628736h
neustrie,Robert de Neustrie ou Le château d'Annebeau. Tome 1 / . Par M. de Boissy,"Brossin de Méré, Élisabeth (1751-1829). Auteur du texte",Avec mode texte,1825,,Le Rouge (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k5566727s
neustrie,"Mémoire sur les incursions que les Normans firent dans la Neustrie, par la Seine . Par M. Bonamy","Bonamy, Pierre-Nicolas (1694-1770). Auteur du texte",Appartient à l’ensemble documentaire : IledeFr1,1743,,[s.n.][s.n.],https://gallica.bnf.fr/ark:/12148/bpt6k6489401z
neustrie,Sur les routes normandes / Edmond Spalikowski,"Spalikowski, Edmond (1874-1951). Auteur du texte",Contient une table des matières,1985,Normandie (France),Éd. de Neustrie (Caen),https://gallica.bnf.fr/ark:/12148/bpt6k3325062h
burgondes,"Notions sur l'origine et le nom des Burgondes et sur leur premier établissement dans la Germanie, lectures faites à l'Académie des sciences, belles-lettres et arts de Lyon en mars 1859, par M. Valentin-Smith","Valentin-Smith, Joannès-Erhard (1796-1891). Auteur du texte",Avec mode texte,1860,,impr. de A. Vingtrinier (Lyon),https://gallica.bnf.fr/ark:/12148/bpt6k70530726
burgondes,"Musée de la ville d'Annecy. Les Sépultures burgondes dans la Haute-Savoie, histoire, anthropologie, stations et mobilier funéraire / Marc Le Roux et Charles Marteaux",,Avec mode texte,1899,,Abry (Annecy),https://gallica.bnf.fr/ark:/12148/bd6t53326225
burgondes,"De la Famille chez les Burgondes / par M. Valentin-Smith,...","Valentin-Smith, Joannès-Erhard (1796-1891). Auteur du texte",Appartient à l’ensemble documentaire : Bourgogn1,1864,Bourgogne (France),"Impr. impériale ((Paris,))",https://gallica.bnf.fr/ark:/12148/bpt6k6115536m
burgondes,Les cimetières burgondes du Doubs et du Jura à l'époque barbare / J.-G. Ebersolt ; [préface par Edouard Salin] ; [note anthropologique par André Leroi-Gourhan],"Ebersolt, Jean-Georges. Auteur du texte",Contient une table des matières,1950,Jura,Impr. de l'Est (Besançon),https://gallica.bnf.fr/ark:/12148/bpt6k3353627b
saxons,"Annexe de l'Etude sur les forestiers et l'établissement du Comté héréditaire de Flandre ; suivie d'une Notice sur les Saxons-transelbains-scandinaves en Flandre / par Jules Bertin,... et George Vallée,...","Bertin, Jules. Auteur du texte; Vallée, George (1853-1926). Auteur du texte",Appartient à l’ensemble documentaire : NordPdeC1,1879,Flandre,(Lille),https://gallica.bnf.fr/ark:/12148/bpt6k57889630
saxons,Mystiques et réalistes anglo-saxons : d'Emerson à Bernard Shaw / Régis Michaud,"Michaud, Régis (1880-1939). Auteur du texte",Avec mode texte,1918,,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k3046229q
saxons,Ordonnance... concernant le corps des Saxons au service de S. M....,Louis XV (1710-1774 ; roi de France). Auteur du texte; France. Auteur du texte,[Acte royal. 1759-03-13. Versailles],1759,Saxons (Corps des) (Actes royaux),(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k9741248f
saxons,"Histoire de la législation des anciens Germains. Langobards, Thuringiens, Frisions, Saxons, Anglo-saxons / par Garabed-Artin Davoud-Oghlou","Davoud Oghlou, Garabed Artin. Auteur du texte",Contient une table des matières,1845,,(Berlin),https://gallica.bnf.fr/ark:/12148/bpt6k9781701v
saxons,"Harold : le dernier des rois saxons. Tome 1 / de sir E. L. Bulwer,... ; traduit de l'anglais [par le Bon de Cools]","Lytton, Edward Bulwer (1803-1873). Auteur du texte",Avec mode texte,1852,,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k54495707
angles,"Sur les angles occipitaux et basilaire... / MM. Augier et Julien,...","Gineste, Raoul (1849-1914). Auteur du texte; Julien, Alexis. Auteur du texte; Association française pour l'avancement des sciences. Congrès (003 ; 1874 ; Lille). Auteur du texte",Avec mode texte,1874,Phrénologie,secrétariat de l'association (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k6313202n
angles,"Trigonométrie pratique réduite à la résolution des triangles : à l'usage des écoles normales primaires... (2e édition) / par M. Félicien Girod,...","Girod, Félicien (1846-1911). Auteur du texte",Avec mode texte,1891,,F.-E. André-Guédon (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k14124843
angles,"Description et usage du télégoniomètre, instrument proposé pour la mesure des angles et des distances à la guerre, par M. Rieffel,...","Rieffel, François-Xavier-Joseph (1790-18..). Auteur du texte",Avec mode texte,1838,,J. Corréard je (Paris),https://gallica.bnf.fr/ark:/12148/bd6t5413494q
angles,Les angles du divorce : comédie en cinq actes / Maurice Biollay,"Biollay, Maurice (1859-1943). Auteur du texte",Avec mode texte,1903,,Librairie théâtrale (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k1421036m
angles,"Trigonométrie canonique, divisée en trois livres : ausquels la theorie et pratique des triangles plans & spheriques sont traittées tres-exactement & brevement . Suivis du quatriesme livre, contenant les tables des logarithmes pour le calcul ; à sçavoir leur construction, & leur usage tres-ample & facile, afin qu'en cet oeuvre n'y ait rien à desirer. Dedié à tres-illustre et genereux seigneur messire Martin Ruzé, marquis d'Effiat et de Longemeau, conseiller du Roy en son conseil d'Estat, grand maistre des mines de France, & gouverneur de la province de Bourbonnois. Par Jean Baptiste Morin de Villefranche en Beaujollois, docteur en medecine, & professeur du Roy aux mathematiques à Paris","Morin, Jean-Baptiste (1583-1656). Auteur du texte",Avec mode texte,1657,,"A Paris, chez Pierre Menard, libraire juré en l'université de Paris, à la descente du pont S. Michel, ruë Bouclerie, au Bon Pasteur. M. DC. LVII",https://gallica.bnf.fr/ark:/12148/bpt6k5712385q
