keyword,title,creator,description,date,subject,publisher,id,url,item_url
vikings,Colorado | The Festival Near You | Festival Information | 2021 National Book Festival | Events at the Library of Congress,,"Local Events Watch Party: National Book Festival Conversation with Trung Le Nguyen September 17, 2021 | 3:00 pm CDT | In-person",2021,nature | family | animals,,http://www.loc.gov/events/2021-national-book-festival/festival-information/festival-near-you/colorado/,https://www.loc.gov/events/2021-national-book-festival/festival-information/festival-near-you/colorado/,https://www.loc.gov/events/2021-national-book-festival/festival-information/festival-near-you/colorado/
vikings,"The seagulls, and other poems,",,"The poems contained in this little volume are the work unaided and unaltered of a little girl, and all of them composed between the ages of six and ten years.  cf. Introd. Also available in digital form.",1904,,,http://www.loc.gov/item/04016417/,https://www.loc.gov/item/04016417/,https://www.loc.gov/item/04016417/
vikings,"An account of the Danes and Norwegians in England, Scotland, and Ireland",,"Appendices: I. Document of Edward I., of the year 1283, concerning the Ostmen in Waterford and Ireland.--II. Coinage of the Norwegians in Dublin. Also available in digital form.",1852,northmen | civilization | great britain | scandinavian influences | ireland,,http://www.loc.gov/item/04002810/,https://www.loc.gov/item/04002810/,https://www.loc.gov/item/04002810/
vikings,The battle of the scalds.,,Also available in digital form.,1882,,,http://www.loc.gov/item/13014964/,https://www.loc.gov/item/13014964/,https://www.loc.gov/item/13014964/
vikings,"Official Gazette of Aruba; 2012, No. 2",,,2012-01-16,caribbean | communications | broadcasting | law library | legal gazettes | maritime and admiralty law | transportation and public works | periodical | health | government | medical devices | aruba | legal notices | ships and boats | law,,http://www.loc.gov/item/88648549_20120116_02/,https://www.loc.gov/item/88648549_20120116_02/,https://www.loc.gov/item/88648549_20120116_02/
vikings,Jon Scieszka,,"<p>Jon Scieszka, 2008-2009 National Ambassador for Young People&#8217;s Literature, was the first writer to hold this position. During his two-year term, Scieszka created a platform with the mission to &#8220;get kids excited about reading.&#8221;</p>",,"scieszka, jon",,http://www.loc.gov/item/n88199147/jon-scieszka/,https://www.loc.gov/item/n88199147/jon-scieszka/,https://www.loc.gov/item/n88199147/jon-scieszka/
vikings,Does the Camera Ever Lie? | Articles and Essays | Civil War Glass Negatives and Related Prints | Digital Collections,,"Detail from Quarters of photographers attached to Engineer Corps in front of Petersburg. Petersburg, Va. March 1865. Prints and Photographs Division, Library of Congress. Reproduction number: LC-B8184-7347 Photographers often want to communicate a thought or emotion with their work. Although the camera lens views the world impartially, the photographer constantly judges, deciding what to photograph and how to photograph it -- focusing on creating a strong image that will communicate the desired message. The words that accompany a photograph may also influence the way we ""read"" the picture.",1861,glass negatives | civil war | portrait photographs,,http://www.loc.gov/collections/civil-war-glass-negatives/articles-and-essays/does-the-camera-ever-lie/,https://www.loc.gov/collections/civil-war-glass-negatives/articles-and-essays/does-the-camera-ever-lie/,https://www.loc.gov/collections/civil-war-glass-negatives/articles-and-essays/does-the-camera-ever-lie/
vikings,The Metropolitan Opera Murders,,"<p>The backstage drama at the Metropolitan Opera often rivals the onstage performances, but generally doesn&#8217;t prove fatal. Not so for prompter Rudolf Salz, who chose a most inopportune moment during Wagner&#8217;s <em>Die Walküre</em> to die of strychnine poisoning—directly in view of the opera’s star, Elsa Vaughn. Not surprisingly, she misses a note or two.</p>",2022-02-01,crime classics,,http://www.loc.gov/item/library-publications/the-metropolitan-opera-murders/,https://www.loc.gov/item/library-publications/the-metropolitan-opera-murders/,https://www.loc.gov/item/library-publications/the-metropolitan-opera-murders/
vikings,"The saga of Jarl the neatherd; a fairy story of another land and time,",,Also available in digital form.,1905,,,http://www.loc.gov/item/06000750/,https://www.loc.gov/item/06000750/,https://www.loc.gov/item/06000750/
vikings,A Conversation with Rick Riordan,,"Bestselling author Rick Riordan kicks off his 2017 book tour for the final book release in his Norse Mythology series titled ""The Ship of the Dead, Book Three: Magnus Chase and the Gods of Asgard."" Riordan's book talk was presented to several groups of students from D.C.-area schools.",2017,"culture, performing arts | rick riodan, interview, conversation | education | literature",,http://www.loc.gov/item/2021690625/,https://www.loc.gov/item/2021690625/,https://www.loc.gov/item/2021690625/
